,DATE,MST,Global Horizontal,Direct Normal,Air Temperature
0,4/20/2020,2020-04-27 05:18:00,8.77112,0.0,3.866
1,4/20/2020,2020-04-27 05:19:00,9.3558,0.0,3.952
2,4/20/2020,2020-04-27 05:20:00,4.22616,0.0,4.043
3,4/20/2020,2020-04-27 05:21:00,5.329269999999999,0.0,4.1819999999999995
4,4/20/2020,2020-04-27 05:22:00,6.84266,0.0,4.111000000000001
5,4/20/2020,2020-04-27 05:23:00,8.57596,0.0,3.885
6,4/20/2020,2020-04-27 05:24:00,10.5543,0.0,4.092
7,4/20/2020,2020-04-27 05:25:00,12.7802,0.0,4.416
8,4/20/2020,2020-04-27 05:26:00,14.8583,0.0,4.596
9,4/20/2020,2020-04-27 05:27:00,17.3267,0.0,4.7
10,4/20/2020,2020-04-27 05:28:00,19.7588,0.0,4.591
11,4/20/2020,2020-04-27 05:29:00,22.2697,0.0,4.36
12,4/20/2020,2020-04-27 05:30:00,24.5848,0.0,4.295
13,4/20/2020,2020-04-27 05:31:00,26.9791,0.0,4.268
14,4/20/2020,2020-04-27 05:32:00,29.2134,6.75626,4.449
15,4/20/2020,2020-04-27 05:33:00,31.7658,158.017,4.5969999999999995
16,4/20/2020,2020-04-27 05:34:00,34.4791,173.65200000000002,4.69
17,4/20/2020,2020-04-27 05:35:00,37.3596,92.8115,4.731
18,4/20/2020,2020-04-27 05:36:00,40.305,104.383,4.801
19,4/20/2020,2020-04-27 05:37:00,43.3499,101.63,5.051
20,4/20/2020,2020-04-27 05:38:00,46.438,122.85,5.117
21,4/20/2020,2020-04-27 05:39:00,49.359,131.09,5.074
22,4/20/2020,2020-04-27 05:40:00,52.2176,149.071,5.044
23,4/20/2020,2020-04-27 05:41:00,55.2958,286.874,5.144
24,4/20/2020,2020-04-27 05:42:00,58.4321,301.435,5.087
25,4/20/2020,2020-04-27 05:43:00,61.5888,316.928,4.9910000000000005
26,4/20/2020,2020-04-27 05:44:00,64.7704,331.966,4.824
27,4/20/2020,2020-04-27 05:45:00,68.1455,346.965,4.795
28,4/20/2020,2020-04-27 05:46:00,71.471,358.327,4.813
29,4/20/2020,2020-04-27 05:47:00,74.7503,371.52,4.855
30,4/20/2020,2020-04-27 05:48:00,78.5501,389.245,4.949
31,4/20/2020,2020-04-27 05:49:00,80.0137,384.224,4.954
32,4/20/2020,2020-04-27 05:50:00,77.4472,344.575,4.933
33,4/20/2020,2020-04-27 05:51:00,79.0939,342.023,4.816
34,4/20/2020,2020-04-27 05:52:00,82.4427,354.26099999999997,4.5760000000000005
35,4/20/2020,2020-04-27 05:53:00,77.4145,301.009,4.538
36,4/20/2020,2020-04-27 05:54:00,88.6671,377.77099999999996,4.703
37,4/20/2020,2020-04-27 05:55:00,100.16799999999999,454.16900000000004,4.676
38,4/20/2020,2020-04-27 05:56:00,103.024,464.336,4.646
39,4/20/2020,2020-04-27 05:57:00,102.891,452.509,4.713
40,4/20/2020,2020-04-27 05:58:00,95.8657,388.955,4.891
41,4/20/2020,2020-04-27 05:59:00,95.5373,376.995,5.037
42,4/20/2020,2020-04-27 06:00:00,80.5562,264.876,5.086
43,4/20/2020,2020-04-27 06:01:00,54.7666,59.9303,5.023
44,4/20/2020,2020-04-27 06:02:00,41.0894,0.0,4.923
45,4/20/2020,2020-04-27 06:03:00,39.7443,0.0,4.87
46,4/20/2020,2020-04-27 06:04:00,40.0827,0.0,4.756
47,4/20/2020,2020-04-27 06:05:00,41.3155,0.0,4.724
48,4/20/2020,2020-04-27 06:06:00,45.9161,4.68498,4.876
49,4/20/2020,2020-04-27 06:07:00,80.6166,202.896,5.008
50,4/20/2020,2020-04-27 06:08:00,70.3607,137.168,5.104
51,4/20/2020,2020-04-27 06:09:00,49.2952,11.6214,5.218
52,4/20/2020,2020-04-27 06:10:00,46.4533,0.0,5.327000000000001
53,4/20/2020,2020-04-27 06:11:00,48.127,0.0,5.311
54,4/20/2020,2020-04-27 06:12:00,52.8944,1.40644,5.164
55,4/20/2020,2020-04-27 06:13:00,66.0989,73.6744,5.136
56,4/20/2020,2020-04-27 06:14:00,70.318,84.449,5.329
57,4/20/2020,2020-04-27 06:15:00,77.6988,112.073,5.381
58,4/20/2020,2020-04-27 06:16:00,79.127,108.902,5.249
59,4/20/2020,2020-04-27 06:17:00,70.7629,52.1128,5.127999999999999
60,4/20/2020,2020-04-27 06:18:00,73.4064,29.2582,5.005
61,4/20/2020,2020-04-27 06:19:00,75.8391,22.9694,4.952
62,4/20/2020,2020-04-27 06:20:00,70.7265,0.0,4.98
63,4/20/2020,2020-04-27 06:21:00,70.2119,0.0,5.019
64,4/20/2020,2020-04-27 06:22:00,72.5852,0.0,5.113
65,4/20/2020,2020-04-27 06:23:00,94.5219,69.3203,5.234
66,4/20/2020,2020-04-27 06:24:00,169.64,393.675,5.334
67,4/20/2020,2020-04-27 06:25:00,191.511,473.366,5.386
68,4/20/2020,2020-04-27 06:26:00,168.021,346.14300000000003,5.502999999999999
69,4/20/2020,2020-04-27 06:27:00,93.905,19.4672,5.621
70,4/20/2020,2020-04-27 06:28:00,88.9017,0.0,5.6979999999999995
71,4/20/2020,2020-04-27 06:29:00,92.8121,6.998660000000001,5.724
72,4/20/2020,2020-04-27 06:30:00,113.39399999999999,102.648,5.765
73,4/20/2020,2020-04-27 06:31:00,152.765,253.769,5.871
74,4/20/2020,2020-04-27 06:32:00,197.963,422.05300000000005,5.931
75,4/20/2020,2020-04-27 06:33:00,203.513,431.805,5.896
76,4/20/2020,2020-04-27 06:34:00,152.053,228.52900000000002,5.928
77,4/20/2020,2020-04-27 06:35:00,247.995,599.383,5.941
78,4/20/2020,2020-04-27 06:36:00,209.90400000000002,457.94599999999997,6.08
79,4/20/2020,2020-04-27 06:37:00,187.56400000000002,375.574,6.246
80,4/20/2020,2020-04-27 06:38:00,173.528,317.732,6.27
81,4/20/2020,2020-04-27 06:39:00,248.174,572.828,6.431
82,4/20/2020,2020-04-27 06:40:00,277.512,657.1519999999999,6.525
83,4/20/2020,2020-04-27 06:41:00,222.13299999999998,432.902,6.72
84,4/20/2020,2020-04-27 06:42:00,154.325,181.382,6.9270000000000005
85,4/20/2020,2020-04-27 06:43:00,147.815,154.701,6.895
86,4/20/2020,2020-04-27 06:44:00,151.298,175.083,6.756
87,4/20/2020,2020-04-27 06:45:00,112.65299999999999,32.5765,6.564
88,4/20/2020,2020-04-27 06:46:00,170.388,247.981,6.561
89,4/20/2020,2020-04-27 06:47:00,157.7,194.84900000000002,6.718999999999999
90,4/20/2020,2020-04-27 06:48:00,178.695,247.67,6.761
91,4/20/2020,2020-04-27 06:49:00,146.917,156.623,6.808
92,4/20/2020,2020-04-27 06:50:00,125.26799999999999,100.625,6.7989999999999995
93,4/20/2020,2020-04-27 06:51:00,195.77900000000002,309.748,6.827000000000001
94,4/20/2020,2020-04-27 06:52:00,277.736,553.153,6.882999999999999
95,4/20/2020,2020-04-27 06:53:00,327.99699999999996,691.6189999999999,7.037999999999999
96,4/20/2020,2020-04-27 06:54:00,329.051,682.835,7.197
97,4/20/2020,2020-04-27 06:55:00,318.717,658.342,7.528
98,4/20/2020,2020-04-27 06:56:00,321.205,660.993,7.872999999999999
99,4/20/2020,2020-04-27 06:57:00,300.983,602.809,8.09
100,4/20/2020,2020-04-27 06:58:00,339.173,708.427,8.23
101,4/20/2020,2020-04-27 06:59:00,340.435,707.971,8.34
102,4/20/2020,2020-04-27 07:00:00,335.478,706.7310000000001,8.43
103,4/20/2020,2020-04-27 07:01:00,332.722,710.681,8.44
104,4/20/2020,2020-04-27 07:02:00,332.366,715.11,8.45
105,4/20/2020,2020-04-27 07:03:00,334.639,715.627,8.53
106,4/20/2020,2020-04-27 07:04:00,334.38699999999994,716.421,8.65
107,4/20/2020,2020-04-27 07:05:00,332.805,720.1010000000001,8.87
108,4/20/2020,2020-04-27 07:06:00,335.296,724.919,9.02
109,4/20/2020,2020-04-27 07:07:00,339.616,728.299,9.0
110,4/20/2020,2020-04-27 07:08:00,344.254,729.821,8.81
111,4/20/2020,2020-04-27 07:09:00,344.62300000000005,726.783,8.79
112,4/20/2020,2020-04-27 07:10:00,343.295,725.122,8.95
113,4/20/2020,2020-04-27 07:11:00,346.20599999999996,730.445,9.04
114,4/20/2020,2020-04-27 07:12:00,347.88800000000003,733.944,9.1
115,4/20/2020,2020-04-27 07:13:00,347.11800000000005,734.965,9.21
116,4/20/2020,2020-04-27 07:14:00,343.204,727.175,9.31
117,4/20/2020,2020-04-27 07:15:00,316.827,656.7710000000001,9.37
118,4/20/2020,2020-04-27 07:16:00,200.843,356.574,9.33
119,4/20/2020,2020-04-27 07:17:00,287.312,568.482,9.32
120,4/20/2020,2020-04-27 07:18:00,340.83,697.655,9.45
121,4/20/2020,2020-04-27 07:19:00,353.82800000000003,723.7180000000001,9.63
122,4/20/2020,2020-04-27 07:20:00,361.32099999999997,736.648,9.91
123,4/20/2020,2020-04-27 07:21:00,367.43300000000005,753.0239999999999,10.21
124,4/20/2020,2020-04-27 07:22:00,368.31800000000004,755.574,10.48
125,4/20/2020,2020-04-27 07:23:00,372.68699999999995,759.868,10.2
126,4/20/2020,2020-04-27 07:24:00,377.779,762.685,9.89
127,4/20/2020,2020-04-27 07:25:00,382.925,763.571,10.06
128,4/20/2020,2020-04-27 07:26:00,388.13300000000004,763.572,10.25
129,4/20/2020,2020-04-27 07:27:00,391.24300000000005,765.1619999999999,10.27
130,4/20/2020,2020-04-27 07:28:00,391.472,763.372,10.22
131,4/20/2020,2020-04-27 07:29:00,391.17900000000003,764.275,10.21
132,4/20/2020,2020-04-27 07:30:00,392.63,768.176,10.19
133,4/20/2020,2020-04-27 07:31:00,395.11,767.595,9.92
134,4/20/2020,2020-04-27 07:32:00,398.20599999999996,770.132,9.45
135,4/20/2020,2020-04-27 07:33:00,403.663,776.304,9.37
136,4/20/2020,2020-04-27 07:34:00,407.48900000000003,783.07,9.38
137,4/20/2020,2020-04-27 07:35:00,403.064,768.288,9.82
138,4/20/2020,2020-04-27 07:36:00,400.67,755.962,10.39
139,4/20/2020,2020-04-27 07:37:00,388.431,725.329,10.61
140,4/20/2020,2020-04-27 07:38:00,356.14,649.029,10.76
141,4/20/2020,2020-04-27 07:39:00,418.434,779.64,10.66
142,4/20/2020,2020-04-27 07:40:00,425.806,792.6,10.7
143,4/20/2020,2020-04-27 07:41:00,429.099,794.445,10.74
144,4/20/2020,2020-04-27 07:42:00,431.48800000000006,795.25,10.9
145,4/20/2020,2020-04-27 07:43:00,427.099,779.324,11.05
146,4/20/2020,2020-04-27 07:44:00,432.56,784.799,10.99
147,4/20/2020,2020-04-27 07:45:00,430.07,774.196,11.13
148,4/20/2020,2020-04-27 07:46:00,436.341,783.7310000000001,11.28
149,4/20/2020,2020-04-27 07:47:00,446.26300000000003,801.0369999999999,11.16
150,4/20/2020,2020-04-27 07:48:00,447.691,800.68,11.16
151,4/20/2020,2020-04-27 07:49:00,451.10400000000004,805.403,11.32
152,4/20/2020,2020-04-27 07:50:00,453.582,806.8510000000001,11.33
153,4/20/2020,2020-04-27 07:51:00,456.35400000000004,808.188,11.47
154,4/20/2020,2020-04-27 07:52:00,459.827,810.932,11.72
155,4/20/2020,2020-04-27 07:53:00,462.80199999999996,811.9069999999999,11.49
156,4/20/2020,2020-04-27 07:54:00,466.001,813.008,11.13
157,4/20/2020,2020-04-27 07:55:00,468.421,813.3,10.94
158,4/20/2020,2020-04-27 07:56:00,471.131,814.304,11.06
159,4/20/2020,2020-04-27 07:57:00,474.89599999999996,816.74,11.25
160,4/20/2020,2020-04-27 07:58:00,477.86800000000005,818.822,11.31
161,4/20/2020,2020-04-27 07:59:00,480.784,819.76,11.24
162,4/20/2020,2020-04-27 08:00:00,483.921,822.115,11.39
163,4/20/2020,2020-04-27 08:01:00,487.369,823.2260000000001,11.36
164,4/20/2020,2020-04-27 08:02:00,490.416,823.79,11.22
165,4/20/2020,2020-04-27 08:03:00,493.75199999999995,825.444,11.21
166,4/20/2020,2020-04-27 08:04:00,499.126,826.841,11.34
167,4/20/2020,2020-04-27 08:05:00,503.82300000000004,828.289,11.3
168,4/20/2020,2020-04-27 08:06:00,506.153,827.7819999999999,11.35
169,4/20/2020,2020-04-27 08:07:00,506.88800000000003,829.265,11.5
170,4/20/2020,2020-04-27 08:08:00,509.05199999999996,830.523,11.71
171,4/20/2020,2020-04-27 08:09:00,512.262,833.1389999999999,11.75
172,4/20/2020,2020-04-27 08:10:00,515.447,833.825,11.7
173,4/20/2020,2020-04-27 08:11:00,518.3530000000001,834.375,11.66
174,4/20/2020,2020-04-27 08:12:00,521.195,834.378,11.7
175,4/20/2020,2020-04-27 08:13:00,524.615,837.413,11.73
176,4/20/2020,2020-04-27 08:14:00,528.7040000000001,838.9119999999999,11.69
177,4/20/2020,2020-04-27 08:15:00,533.74,840.067,11.8
178,4/20/2020,2020-04-27 08:16:00,539.113,841.6239999999999,11.83
179,4/20/2020,2020-04-27 08:17:00,545.2080000000001,844.3510000000001,11.75
180,4/20/2020,2020-04-27 08:18:00,549.962,844.097,11.5
181,4/20/2020,2020-04-27 08:19:00,552.587,842.091,11.57
182,4/20/2020,2020-04-27 08:20:00,553.375,842.495,11.76
183,4/20/2020,2020-04-27 08:21:00,553.683,843.33,11.96
184,4/20/2020,2020-04-27 08:22:00,554.714,844.453,12.06
185,4/20/2020,2020-04-27 08:23:00,556.411,844.554,12.09
186,4/20/2020,2020-04-27 08:24:00,558.2769999999999,846.0930000000001,12.13
187,4/20/2020,2020-04-27 08:25:00,560.789,847.8789999999999,12.0
188,4/20/2020,2020-04-27 08:26:00,562.869,848.1010000000001,11.86
189,4/20/2020,2020-04-27 08:27:00,566.271,849.0369999999999,11.93
190,4/20/2020,2020-04-27 08:28:00,569.727,850.383,12.03
191,4/20/2020,2020-04-27 08:29:00,572.914,851.3439999999999,11.98
192,4/20/2020,2020-04-27 08:30:00,575.149,851.377,12.1
193,4/20/2020,2020-04-27 08:31:00,577.234,851.576,12.33
194,4/20/2020,2020-04-27 08:32:00,579.887,852.043,12.2
195,4/20/2020,2020-04-27 08:33:00,583.165,852.314,12.04
196,4/20/2020,2020-04-27 08:34:00,586.433,852.9119999999999,12.17
197,4/20/2020,2020-04-27 08:35:00,588.756,852.81,12.11
198,4/20/2020,2020-04-27 08:36:00,592.309,854.913,12.07
199,4/20/2020,2020-04-27 08:37:00,596.4159999999999,857.63,12.14
200,4/20/2020,2020-04-27 08:38:00,599.8,858.735,12.25
201,4/20/2020,2020-04-27 08:39:00,603.0319999999999,858.557,12.19
202,4/20/2020,2020-04-27 08:40:00,606.011,858.686,12.1
203,4/20/2020,2020-04-27 08:41:00,609.735,860.043,12.14
204,4/20/2020,2020-04-27 08:42:00,612.597,861.865,11.95
205,4/20/2020,2020-04-27 08:43:00,616.279,863.77,12.0
206,4/20/2020,2020-04-27 08:44:00,620.811,864.296,12.24
207,4/20/2020,2020-04-27 08:45:00,627.41,863.05,12.37
208,4/20/2020,2020-04-27 08:46:00,634.734,863.3889999999999,12.53
209,4/20/2020,2020-04-27 08:47:00,641.789,864.426,12.75
210,4/20/2020,2020-04-27 08:48:00,644.956,864.669,12.7
211,4/20/2020,2020-04-27 08:49:00,644.359,865.4810000000001,12.59
212,4/20/2020,2020-04-27 08:50:00,644.276,867.6669999999999,12.47
213,4/20/2020,2020-04-27 08:51:00,645.784,868.668,12.44
214,4/20/2020,2020-04-27 08:52:00,647.4730000000001,871.0210000000001,12.66
215,4/20/2020,2020-04-27 08:53:00,651.429,867.875,12.78
216,4/20/2020,2020-04-27 08:54:00,654.693,865.775,12.49
217,4/20/2020,2020-04-27 08:55:00,658.4910000000001,866.9110000000001,12.34
218,4/20/2020,2020-04-27 08:56:00,664.466,870.513,12.27
219,4/20/2020,2020-04-27 08:57:00,678.7410000000001,874.398,12.13
220,4/20/2020,2020-04-27 08:58:00,695.097,874.033,12.16
221,4/20/2020,2020-04-27 08:59:00,715.613,876.914,12.32
222,4/20/2020,2020-04-27 09:00:00,744.4910000000001,879.6039999999999,12.4
223,4/20/2020,2020-04-27 09:01:00,764.747,869.8710000000001,12.33
224,4/20/2020,2020-04-27 09:02:00,771.691,873.865,12.24
225,4/20/2020,2020-04-27 09:03:00,773.071,883.784,12.45
226,4/20/2020,2020-04-27 09:04:00,765.6030000000001,884.243,12.8
227,4/20/2020,2020-04-27 09:05:00,224.6,117.62,12.99
228,4/20/2020,2020-04-27 09:06:00,121.788,0.0,12.77
229,4/20/2020,2020-04-27 09:07:00,108.631,0.0,12.32
230,4/20/2020,2020-04-27 09:08:00,100.40700000000001,0.0,11.96
231,4/20/2020,2020-04-27 09:09:00,96.8539,0.0,11.69
232,4/20/2020,2020-04-27 09:10:00,90.8407,0.0,11.42
233,4/20/2020,2020-04-27 09:11:00,90.9849,0.0,11.25
234,4/20/2020,2020-04-27 09:12:00,106.961,8.81057,11.17
235,4/20/2020,2020-04-27 09:13:00,287.58299999999997,237.43099999999998,11.1
236,4/20/2020,2020-04-27 09:14:00,750.334,880.8389999999999,11.13
237,4/20/2020,2020-04-27 09:15:00,760.466,894.352,11.34
238,4/20/2020,2020-04-27 09:16:00,768.1489999999999,903.51,11.66
239,4/20/2020,2020-04-27 09:17:00,790.5219999999999,905.8480000000001,12.01
240,4/20/2020,2020-04-27 09:18:00,745.447,817.441,12.07
241,4/20/2020,2020-04-27 09:19:00,624.126,642.755,12.23
242,4/20/2020,2020-04-27 09:20:00,215.80599999999998,86.9171,12.23
243,4/20/2020,2020-04-27 09:21:00,195.641,64.5003,12.13
244,4/20/2020,2020-04-27 09:22:00,442.746,372.592,11.99
245,4/20/2020,2020-04-27 09:23:00,733.173,751.4019999999999,12.11
246,4/20/2020,2020-04-27 09:24:00,790.8860000000001,828.835,12.25
247,4/20/2020,2020-04-27 09:25:00,554.168,520.7769999999999,12.33
248,4/20/2020,2020-04-27 09:26:00,302.779,182.68400000000003,12.41
249,4/20/2020,2020-04-27 09:27:00,698.15,727.1619999999999,12.5
250,4/20/2020,2020-04-27 09:28:00,603.411,623.653,12.51
251,4/20/2020,2020-04-27 09:29:00,722.7539999999999,797.88,12.47
252,4/20/2020,2020-04-27 09:30:00,633.484,682.878,12.63
253,4/20/2020,2020-04-27 09:31:00,795.59,892.5219999999999,12.74
254,4/20/2020,2020-04-27 09:32:00,789.3,891.297,13.05
255,4/20/2020,2020-04-27 09:33:00,511.074,532.612,13.26
256,4/20/2020,2020-04-27 09:34:00,783.135,890.355,13.06
257,4/20/2020,2020-04-27 09:35:00,718.8580000000001,822.437,12.69
258,4/20/2020,2020-04-27 09:36:00,718.698,840.918,12.75
259,4/20/2020,2020-04-27 09:37:00,765.321,906.775,12.8
260,4/20/2020,2020-04-27 09:38:00,759.6389999999999,898.546,13.0
261,4/20/2020,2020-04-27 09:39:00,760.329,903.265,13.31
262,4/20/2020,2020-04-27 09:40:00,761.715,900.549,13.43
263,4/20/2020,2020-04-27 09:41:00,764.2710000000001,901.915,13.33
264,4/20/2020,2020-04-27 09:42:00,762.797,898.1519999999999,13.46
265,4/20/2020,2020-04-27 09:43:00,767.39,904.827,13.38
266,4/20/2020,2020-04-27 09:44:00,770.0239999999999,904.404,13.16
267,4/20/2020,2020-04-27 09:45:00,773.422,907.197,13.12
268,4/20/2020,2020-04-27 09:46:00,775.936,908.3689999999999,13.14
269,4/20/2020,2020-04-27 09:47:00,778.211,908.6410000000001,13.5
270,4/20/2020,2020-04-27 09:48:00,781.8330000000001,908.671,13.84
271,4/20/2020,2020-04-27 09:49:00,788.122,908.688,14.0
272,4/20/2020,2020-04-27 09:50:00,797.047,912.248,14.12
273,4/20/2020,2020-04-27 09:51:00,804.8480000000001,911.439,14.07
274,4/20/2020,2020-04-27 09:52:00,809.222,912.913,13.88
275,4/20/2020,2020-04-27 09:53:00,816.0139999999999,915.454,13.44
276,4/20/2020,2020-04-27 09:54:00,819.0210000000001,911.005,13.29
277,4/20/2020,2020-04-27 09:55:00,821.8639999999999,914.9,13.6
278,4/20/2020,2020-04-27 09:56:00,821.953,911.5060000000001,13.91
279,4/20/2020,2020-04-27 09:57:00,821.5160000000001,914.492,13.96
280,4/20/2020,2020-04-27 09:58:00,818.816,911.174,13.98
281,4/20/2020,2020-04-27 09:59:00,814.8589999999999,909.383,13.93
282,4/20/2020,2020-04-27 10:00:00,812.752,911.047,13.77
283,4/20/2020,2020-04-27 10:01:00,809.824,911.252,13.5
284,4/20/2020,2020-04-27 10:02:00,810.597,914.335,13.41
285,4/20/2020,2020-04-27 10:03:00,812.193,912.5,13.64
286,4/20/2020,2020-04-27 10:04:00,814.01,914.0989999999999,13.83
287,4/20/2020,2020-04-27 10:05:00,816.1310000000001,917.055,14.03
288,4/20/2020,2020-04-27 10:06:00,818.54,914.947,13.94
289,4/20/2020,2020-04-27 10:07:00,820.17,913.966,13.76
290,4/20/2020,2020-04-27 10:08:00,825.926,917.937,13.49
291,4/20/2020,2020-04-27 10:09:00,829.0310000000001,915.722,13.32
292,4/20/2020,2020-04-27 10:10:00,832.253,915.6239999999999,13.03
293,4/20/2020,2020-04-27 10:11:00,832.206,916.428,13.06
294,4/20/2020,2020-04-27 10:12:00,830.699,919.637,13.26
295,4/20/2020,2020-04-27 10:13:00,830.7439999999999,920.19,13.6
296,4/20/2020,2020-04-27 10:14:00,832.81,919.2719999999999,13.72
297,4/20/2020,2020-04-27 10:15:00,835.01,919.59,13.76
298,4/20/2020,2020-04-27 10:16:00,802.433,879.551,13.86
299,4/20/2020,2020-04-27 10:17:00,834.579,903.691,14.15
300,4/20/2020,2020-04-27 10:18:00,845.827,916.122,14.24
301,4/20/2020,2020-04-27 10:19:00,846.341,921.794,14.09
302,4/20/2020,2020-04-27 10:20:00,849.5169999999999,923.5419999999999,14.02
303,4/20/2020,2020-04-27 10:21:00,849.263,921.453,13.87
304,4/20/2020,2020-04-27 10:22:00,855.255,924.3739999999999,13.86
305,4/20/2020,2020-04-27 10:23:00,860.566,921.596,14.1
306,4/20/2020,2020-04-27 10:24:00,863.597,922.288,14.48
307,4/20/2020,2020-04-27 10:25:00,868.01,923.77,14.34
308,4/20/2020,2020-04-27 10:26:00,873.87,926.762,14.09
309,4/20/2020,2020-04-27 10:27:00,879.3,926.4960000000001,13.74
310,4/20/2020,2020-04-27 10:28:00,882.6,924.725,13.56
311,4/20/2020,2020-04-27 10:29:00,884.6469999999999,930.8710000000001,14.0
312,4/20/2020,2020-04-27 10:30:00,886.2660000000001,930.217,14.29
313,4/20/2020,2020-04-27 10:31:00,886.2460000000001,927.433,14.39
314,4/20/2020,2020-04-27 10:32:00,885.966,926.2919999999999,14.23
315,4/20/2020,2020-04-27 10:33:00,879.954,924.0269999999999,14.21
316,4/20/2020,2020-04-27 10:34:00,877.082,924.692,14.12
317,4/20/2020,2020-04-27 10:35:00,877.752,928.075,13.87
318,4/20/2020,2020-04-27 10:36:00,880.1110000000001,928.96,13.84
